city,time,name,rate,type,location,price
Sydney,01-02,InterContinental Sydney,Excellent ,Hotel,"Sydney, 0.7 km to Sydney Opera House",342
Sydney,01-02,Oaks Goldsbrough Apartments,Good ,Serviced apartment,"Sydney, 0.3 km to Darling Harbour",242
Sydney,01-02,Novotel Sydney Central,Very good ,Hotel,"Sydney, 1.0 km to Darling Harbour",237
Sydney,01-02,Adina Apartment Hotel Bondi Beach Sydney,Excellent ,Serviced apartment,"Sydney, 0.4 km away from the beach",399
Sydney,01-02,Hyatt Regency Sydney,Very good ,Hotel,"Sydney, 0.4 km to Darling Harbour",408
Sydney,01-02,ibis Sydney Darling Harbour Hotel, ,Hotel,"Sydney, 0.4 km to Darling Harbour",249
Sydney,01-02,Quest Bella Vista,Excellent ,Serviced apartment,"Sydney, 27.0 km to City centre",170
Sydney,01-02,Vibe  North Sydney,Excellent ,Hotel,"Sydney, 3.9 km to City centre",144
Sydney,01-02,Holiday Inn Darling Harbour,Very good ,Hotel,"Sydney, 0.6 km to Darling Harbour",205
Sydney,01-02,Lucas Heights,Good ,Motel,"Sydney, 21.8 km to Airport Sydney",128
Sydney,01-02,57 Hotel,Very good ,Hotel,"Sydney, 1.2 km to Sydney Town Hall",206
Sydney,01-02,Radisson Blu Plaza Sydney,Excellent ,Hotel,"Sydney, 0.9 km to Sydney Town Hall",257
Sydney,01-02,Novotel Sydney Olympic Park Hotel,Very good ,Hotel,"Sydney, 12.7 km to Darling Harbour",223
Sydney,01-02,Shangri-La Hotel Sydney,Excellent ,Hotel,"Sydney, 1.0 km to Sydney Opera House",292
Sydney,01-02,Hotel Vulcan,Very good ,Hotel,"Sydney, 1.0 km to Darling Harbour",194
Sydney,01-02,Rendezvous Hotel Sydney Central,Very good ,Hotel,"Sydney, 1.1 km to Darling Harbour",159
Sydney,01-02,Meriton Suites Kent Street,Excellent ,Serviced apartment,"Sydney, 0.3 km to Sydney Town Hall",267
Sydney,01-02,Novotel Sydney On Darling Harbour Hotel,Good ,Hotel,"Sydney, 0.3 km to Darling Harbour",279
Sydney,01-02,Best Western Plus Hotel Stellar,Excellent ,Serviced apartment,"Sydney, 0.7 km to Sydney Town Hall",220
Sydney,01-02,Crowne Plaza Coogee Beach-Sydney,Excellent ,Hotel,"Sydney, 0.1 km away from the beach",307
Sydney,01-02,Travelodge Sydney, ,Hotel,"Sydney, 0.7 km to Sydney Town Hall",167
Sydney,01-02,Silkari Suites Chatswood,Excellent ,Hotel,"Sydney, 8.6 km to City centre",167
Sydney,01-02,Oaks on Castlereagh,Good ,Serviced apartment,"Sydney, 0.7 km to Sydney Town Hall",218
Sydney,01-02,Nightcap at Blue Cattle Dog Hotel,Good ,Hotel,"Sydney, 40.9 km to Darling Harbour",119
Sydney,01-02,Adina Apartment Hotel Sydney Town Hall,Very good ,Serviced apartment,"Sydney, 0.2 km to Sydney Town Hall",233
Sydney,02-03,InterContinental Sydney,Excellent ,Hotel,"Sydney, 0.7 km to Sydney Opera House",438
Sydney,02-03,Hyatt Regency Sydney,Very good ,Hotel,"Sydney, 0.4 km to Darling Harbour",408
Sydney,02-03,Novotel Sydney Central,Very good ,Hotel,"Sydney, 1.0 km to Darling Harbour",305
Sydney,02-03,Novotel Sydney Olympic Park Hotel,Very good ,Hotel,"Sydney, 12.7 km to Darling Harbour",271
Sydney,02-03,Oaks Goldsbrough Apartments,Good ,Serviced apartment,"Sydney, 0.3 km to Darling Harbour",356
Sydney,02-03,57 Hotel,Very good ,Hotel,"Sydney, 1.2 km to Sydney Town Hall",215
Sydney,02-03,Quest Liverpool,Very good ,Serviced apartment,"Sydney, 23.3 km to Airport Sydney",142
Sydney,02-03,Novotel Sydney On Darling Harbour Hotel,Good ,Hotel,"Sydney, 0.3 km to Darling Harbour",429
Sydney,02-03,Vibe  North Sydney,Excellent ,Hotel,"Sydney, 3.9 km to City centre",161
Sydney,02-03,Hotel Stamford Plaza Sydney Airport,Very good ,Hotel,"Sydney, 1.1 km to Airport Sydney",167
Sydney,02-03,Novotel Sydney Brighton Beach,Good ,Hotel,"Sydney, 0.1 km away from the beach",269
Sydney,02-03,Holiday Inn Darling Harbour,Very good ,Hotel,"Sydney, 0.6 km to Darling Harbour",304
Sydney,02-03,Quest Bella Vista,Excellent ,Serviced apartment,"Sydney, 27.0 km to City centre",197
Sydney,02-03,Radisson Blu Plaza Sydney,Excellent ,Hotel,"Sydney, 0.9 km to Sydney Town Hall",401
Sydney,02-03,Hotel Vulcan,Very good ,Hotel,"Sydney, 1.0 km to Darling Harbour",230
Sydney,02-03,QT Bondi,Very good ,Hotel,"Sydney, 0.2 km away from the beach",600
Sydney,02-03,Meriton Suites Kent Street,Excellent ,Serviced apartment,"Sydney, 0.3 km to Sydney Town Hall",327
Sydney,02-03,Travelodge Sydney, ,Hotel,"Sydney, 0.7 km to Sydney Town Hall",231
Sydney,02-03,Silkari Suites Chatswood,Excellent ,Hotel,"Sydney, 8.6 km to City centre",184
Sydney,02-03,Meriton Suites Campbell Street,Excellent ,Serviced apartment,"Sydney, 0.7 km to Sydney Town Hall",307
Sydney,02-03,The Tank Stream,Excellent ,Hotel,"Sydney, 0.9 km to Sydney Town Hall",231
Sydney,02-03,Rendezvous Hotel Sydney Central,Very good ,Hotel,"Sydney, 1.1 km to Darling Harbour",207
Sydney,02-03,Quest Bondi Junction,Very good ,Serviced apartment,"Sydney, 2.7 km to Bondi Beach",256
Sydney,02-03,Meriton Suites Bondi Junction,Excellent ,Serviced apartment,"Sydney, 2.7 km to Bondi Beach",277
Sydney,02-03,Adina Apartment Hotel Sydney Town Hall,Very good ,Serviced apartment,"Sydney, 0.2 km to Sydney Town Hall",305
Sydney,03-04,InterContinental Sydney,Excellent ,Hotel,"Sydney, 0.7 km to Sydney Opera House",275
